#word	freqcount	cdcount	subtlwf	lg10wf	subtlcd	lg10cd
core	501	287	9.82	2.7007	3.42	2.4594
holidays	466	287	9.14	2.6693	3.42	2.4594
insanity	391	287	7.67	2.5933	3.42	2.4594
noises	365	287	7.16	2.5635	3.42	2.4594
pursue	327	287	6.41	2.5159	3.42	2.4594
remaining	344	287	6.75	2.5378	3.42	2.4594
respects	340	287	6.67	2.5328	3.42	2.4594
sentimental	359	287	7.04	2.5563	3.42	2.4594
administration	387	286	7.59	2.5888	3.41	2.4579
ankle	409	286	8.02	2.6128	3.41	2.4579
factor	370	286	7.25	2.5694	3.41	2.4579
integrity	367	286	7.20	2.5658	3.41	2.4579
nancy	1087	286	21.31	3.0366	3.41	2.4579
opposed	352	286	6.90	2.5478	3.41	2.4579
passenger	549	286	10.76	2.7404	3.41	2.4579
ritual	456	286	8.94	2.6599	3.41	2.4579
weed	600	286	11.76	2.7789	3.41	2.4579
whereabouts	327	286	6.41	2.5159	3.41	2.4579
absence	322	285	6.31	2.5092	3.40	2.4564
artists	412	285	8.08	2.6160	3.40	2.4564
depending	306	285	6.00	2.4871	3.40	2.4564
drowning	368	285	7.22	2.5670	3.40	2.4564
fur	422	285	8.27	2.6263	3.40	2.4564
passport	534	285	10.47	2.7284	3.40	2.4564
smoked	357	285	7.00	2.5539	3.40	2.4564
suspended	373	285	7.31	2.5729	3.40	2.4564
vietnam	817	285	16.02	2.9128	3.40	2.4564
aisle	379	284	7.43	2.5798	3.39	2.4548
inappropriate	338	284	6.63	2.5302	3.39	2.4548
marine	718	284	14.08	2.8567	3.39	2.4548
praise	482	284	9.45	2.6839	3.39	2.4548
sandy	1186	284	23.25	3.0745	3.39	2.4548
adopted	430	283	8.43	2.6345	3.37	2.4533
communications	398	283	7.80	2.6010	3.37	2.4533
creeps	327	283	6.41	2.5159	3.37	2.4533
elsewhere	315	283	6.18	2.4997	3.37	2.4533
jaw	364	283	7.14	2.5623	3.37	2.4533
messenger	411	283	8.06	2.6149	3.37	2.4533
models	451	283	8.84	2.6551	3.37	2.4533
naive	329	283	6.45	2.5185	3.37	2.4533
sailor	632	283	12.39	2.8014	3.37	2.4533
shitty	371	283	7.27	2.5705	3.37	2.4533
spilled	324	283	6.35	2.5119	3.37	2.4533
weigh	363	283	7.12	2.5611	3.37	2.4533
benefits	379	282	7.43	2.5798	3.36	2.4518
correctly	309	282	6.06	2.4914	3.36	2.4518
crashing	321	282	6.29	2.5079	3.36	2.4518
gossip	397	282	7.78	2.5999	3.36	2.4518
graduation	500	282	9.80	2.6998	3.36	2.4518
jeff	1539	282	30.18	3.1875	3.36	2.4518
liquid	395	282	7.75	2.5977	3.36	2.4518
pursuit	359	282	7.04	2.5563	3.36	2.4518
skies	382	282	7.49	2.5832	3.36	2.4518
stove	387	282	7.59	2.5888	3.36	2.4518
uniforms	403	282	7.90	2.6064	3.36	2.4518
accidents	340	281	6.67	2.5328	3.35	2.4502
aha	360	281	7.06	2.5575	3.35	2.4502
backyard	369	281	7.24	2.5682	3.35	2.4502
corporal	802	281	15.73	2.9047	3.35	2.4502
cries	356	281	6.98	2.5527	3.35	2.4502
drowned	391	281	7.67	2.5933	3.35	2.4502
executed	381	281	7.47	2.5821	3.35	2.4502
greedy	338	281	6.63	2.5302	3.35	2.4502
heel	377	281	7.39	2.5775	3.35	2.4502
illness	371	281	7.27	2.5705	3.35	2.4502
images	401	281	7.86	2.6042	3.35	2.4502
initial	325	281	6.37	2.5132	3.35	2.4502
psychological	343	281	6.73	2.5366	3.35	2.4502
receipt	379	281	7.43	2.5798	3.35	2.4502
significant	331	281	6.49	2.5211	3.35	2.4502
tray	410	281	8.04	2.6138	3.35	2.4502
wires	355	281	6.96	2.5514	3.35	2.4502
atlantic	504	280	9.88	2.7033	3.34	2.4487
cheek	365	280	7.16	2.5635	3.34	2.4487
consent	379	280	7.43	2.5798	3.34	2.4487
elected	370	280	7.25	2.5694	3.34	2.4487
locks	341	280	6.69	2.5340	3.34	2.4487
medium	362	280	7.10	2.5599	3.34	2.4487
obligation	344	280	6.75	2.5378	3.34	2.4487
raid	436	280	8.55	2.6405	3.34	2.4487
robin	1272	280	24.94	3.1048	3.34	2.4487
scenes	428	280	8.39	2.6325	3.34	2.4487
tan	439	280	8.61	2.6435	3.34	2.4487
unnecessary	316	280	6.20	2.5011	3.34	2.4487
wishing	339	280	6.65	2.5315	3.34	2.4487
bedtime	316	279	6.20	2.5011	3.33	2.4472
casual	373	279	7.31	2.5729	3.33	2.4472
cleaner	353	279	6.92	2.5490	3.33	2.4472
compromise	358	279	7.02	2.5551	3.33	2.4472
cooler	360	279	7.06	2.5575	3.33	2.4472
doubts	332	279	6.51	2.5224	3.33	2.4472
dynamite	515	279	10.10	2.7126	3.33	2.4472
eagle	586	279	11.49	2.7686	3.33	2.4472
establish	323	279	6.33	2.5105	3.33	2.4472
execution	497	279	9.75	2.6972	3.33	2.4472
gracious	365	279	7.16	2.5635	3.33	2.4472
intact	324	279	6.35	2.5119	3.33	2.4472
linda	1350	279	26.47	3.1307	3.33	2.4472
necklace	497	279	9.75	2.6972	3.33	2.4472
tide	375	279	7.35	2.5752	3.33	2.4472
zip	389	279	7.63	2.5911	3.33	2.4472
backing	324	278	6.35	2.5119	3.31	2.4456
chuckles	665	278	13.04	2.8235	3.31	2.4456
daniel	1116	278	21.88	3.0481	3.31	2.4456
debate	474	278	9.29	2.6767	3.31	2.4456
depressing	324	278	6.35	2.5119	3.31	2.4456
european	360	278	7.06	2.5575	3.31	2.4456
income	378	278	7.41	2.5786	3.31	2.4456
outrageous	323	278	6.33	2.5105	3.31	2.4456
positively	310	278	6.08	2.4928	3.31	2.4456
robe	433	278	8.49	2.6375	3.31	2.4456
seed	386	278	7.57	2.5877	3.31	2.4456
yelled	313	278	6.14	2.4969	3.31	2.4456
bets	537	277	10.53	2.7308	3.30	2.4440
candidate	434	277	8.51	2.6385	3.30	2.4440
consciousness	413	277	8.10	2.6170	3.30	2.4440
dragon	984	277	19.29	2.9934	3.30	2.4440
elements	352	277	6.90	2.5478	3.30	2.4440
heavily	312	277	6.12	2.4955	3.30	2.4440
reserve	366	277	7.18	2.5647	3.30	2.4440
wax	461	277	9.04	2.6646	3.30	2.4440
colleague	346	276	6.78	2.5403	3.29	2.4425
confidential	342	276	6.71	2.5353	3.29	2.4425
engines	543	276	10.65	2.7356	3.29	2.4425
ink	382	276	7.49	2.5832	3.29	2.4425
persuade	326	276	6.39	2.5145	3.29	2.4425
pouring	302	276	5.92	2.4814	3.29	2.4425
rejected	337	276	6.61	2.5289	3.29	2.4425
represents	313	276	6.14	2.4969	3.29	2.4425
russia	630	276	12.35	2.8000	3.29	2.4425
surprising	307	276	6.02	2.4886	3.29	2.4425
treats	317	276	6.22	2.5024	3.29	2.4425
wooden	367	276	7.20	2.5658	3.29	2.4425
champ	771	275	15.12	2.8876	3.28	2.4409
contain	310	275	6.08	2.4928	3.28	2.4409
jackass	347	275	6.80	2.5416	3.28	2.4409
judges	426	275	8.35	2.6304	3.28	2.4409
niece	486	275	9.53	2.6875	3.28	2.4409
pumpkin	553	275	10.84	2.7435	3.28	2.4409
symptoms	407	275	7.98	2.6107	3.28	2.4409
thanksgiving	949	275	18.61	2.9777	3.28	2.4409
additional	300	274	5.88	2.4786	3.27	2.4393
automatic	356	274	6.98	2.5527	3.27	2.4393
bowling	545	274	10.69	2.7372	3.27	2.4393
chains	387	274	7.59	2.5888	3.27	2.4393
encourage	308	274	6.04	2.4900	3.27	2.4393
experts	346	274	6.78	2.5403	3.27	2.4393
hush	388	274	7.61	2.5899	3.27	2.4393
ignorant	319	274	6.25	2.5051	3.27	2.4393
nightmares	371	274	7.27	2.5705	3.27	2.4393
poet	470	274	9.22	2.6730	3.27	2.4393
recipe	388	274	7.61	2.5899	3.27	2.4393
seattle	637	274	12.49	2.8048	3.27	2.4393
shelf	355	274	6.96	2.5514	3.27	2.4393
slipping	303	274	5.94	2.4829	3.27	2.4393
threats	339	274	6.65	2.5315	3.27	2.4393
whispering	413	274	8.10	2.6170	3.27	2.4393
album	522	273	10.24	2.7185	3.25	2.4378
amateur	334	273	6.55	2.5250	3.25	2.4378
appreciated	292	273	5.73	2.4669	3.25	2.4378
autograph	416	273	8.16	2.6201	3.25	2.4378
brad	1541	273	30.22	3.1881	3.25	2.4378
cemetery	443	273	8.69	2.6474	3.25	2.4378
clears	372	273	7.29	2.5717	3.25	2.4378
conscious	347	273	6.80	2.5416	3.25	2.4378
deed	475	273	9.31	2.6776	3.25	2.4378
experiences	358	273	7.02	2.5551	3.25	2.4378
lounge	401	273	7.86	2.6042	3.25	2.4378
northern	362	273	7.10	2.5599	3.25	2.4378
prescription	376	273	7.37	2.5763	3.25	2.4378
queens	496	273	9.73	2.6964	3.25	2.4378
teenage	350	273	6.86	2.5453	3.25	2.4378
agenda	373	272	7.31	2.5729	3.24	2.4362
approved	331	272	6.49	2.5211	3.24	2.4362
barbecue	456	272	8.94	2.6599	3.24	2.4362
barry	1013	272	19.86	3.0060	3.24	2.4362
bathing	379	272	7.43	2.5798	3.24	2.4362
bumped	310	272	6.08	2.4928	3.24	2.4362
celebrity	372	272	7.29	2.5717	3.24	2.4362
choke	330	272	6.47	2.5198	3.24	2.4362
colleagues	332	272	6.51	2.5224	3.24	2.4362
concrete	379	272	7.43	2.5798	3.24	2.4362
cursed	377	272	7.39	2.5775	3.24	2.4362
dearest	362	272	7.10	2.5599	3.24	2.4362
differences	305	272	5.98	2.4857	3.24	2.4362
franklin	551	272	10.80	2.7419	3.24	2.4362
gene	743	272	14.57	2.8716	3.24	2.4362
grounded	397	272	7.78	2.5999	3.24	2.4362
harold	1286	272	25.22	3.1096	3.24	2.4362
hong	924	272	18.12	2.9661	3.24	2.4362
hottest	315	272	6.18	2.4997	3.24	2.4362
lighten	301	272	5.90	2.4800	3.24	2.4362
luxury	307	272	6.02	2.4886	3.24	2.4362
modest	300	272	5.88	2.4786	3.24	2.4362
reliable	301	272	5.90	2.4800	3.24	2.4362
resistance	431	272	8.45	2.6355	3.24	2.4362
restaurants	349	272	6.84	2.5441	3.24	2.4362
circuit	340	271	6.67	2.5328	3.23	2.4346
election	560	271	10.98	2.7490	3.23	2.4346
festival	505	271	9.90	2.7042	3.23	2.4346
frog	603	271	11.82	2.7810	3.23	2.4346
gag	360	271	7.06	2.5575	3.23	2.4346
grease	354	271	6.94	2.5502	3.23	2.4346
hardware	348	271	6.82	2.5428	3.23	2.4346
hereby	325	271	6.37	2.5132	3.23	2.4346
journal	453	271	8.88	2.6571	3.23	2.4346
mobile	381	271	7.47	2.5821	3.23	2.4346
substance	364	271	7.14	2.5623	3.23	2.4346
worm	516	271	10.12	2.7135	3.23	2.4346
andrew	1085	270	21.27	3.0358	3.22	2.4330
codes	467	270	9.16	2.6702	3.22	2.4330
drum	432	270	8.47	2.6365	3.22	2.4330
explore	317	270	6.22	2.5024	3.22	2.4330
length	358	270	7.02	2.5551	3.22	2.4330
objective	359	270	7.04	2.5563	3.22	2.4330
reunion	450	270	8.82	2.6542	3.22	2.4330
roots	325	270	6.37	2.5132	3.22	2.4330
rushing	307	270	6.02	2.4886	3.22	2.4330
servants	352	270	6.90	2.5478	3.22	2.4330
spoon	388	270	7.61	2.5899	3.22	2.4330
struggling	316	270	6.20	2.5011	3.22	2.4330
altogether	327	269	6.41	2.5159	3.21	2.4314
attending	364	269	7.14	2.5623	3.21	2.4314
cows	480	269	9.41	2.6821	3.21	2.4314
deliberately	319	269	6.25	2.5051	3.21	2.4314
demonstration	366	269	7.18	2.5647	3.21	2.4314
doorbell	425	269	8.33	2.6294	3.21	2.4314
knives	353	269	6.92	2.5490	3.21	2.4314
morgue	440	269	8.63	2.6444	3.21	2.4314
overcome	316	269	6.20	2.5011	3.21	2.4314
sonny	882	269	17.29	2.9460	3.21	2.4314
stack	311	269	6.10	2.4942	3.21	2.4314
stud	354	269	6.94	2.5502	3.21	2.4314
tin	441	269	8.65	2.6454	3.21	2.4314
whipped	370	269	7.25	2.5694	3.21	2.4314
anna	1738	268	34.08	3.2403	3.20	2.4298
arizona	564	268	11.06	2.7520	3.20	2.4298
baked	341	268	6.69	2.5340	3.20	2.4298
forbidden	387	268	7.59	2.5888	3.20	2.4298
ironic	312	268	6.12	2.4955	3.20	2.4298
methods	330	268	6.47	2.5198	3.20	2.4298
performing	325	268	6.37	2.5132	3.20	2.4298
purchase	325	268	6.37	2.5132	3.20	2.4298
revealed	298	268	5.84	2.4757	3.20	2.4298
rig	440	268	8.63	2.6444	3.20	2.4298
unpleasant	311	268	6.10	2.4942	3.20	2.4298
voted	354	268	6.94	2.5502	3.20	2.4298
balcony	373	267	7.31	2.5729	3.18	2.4281
corps	555	267	10.88	2.7451	3.18	2.4281
definite	314	267	6.16	2.4983	3.18	2.4281
desperately	297	267	5.82	2.4742	3.18	2.4281
figuring	318	267	6.24	2.5038	3.18	2.4281
folk	365	267	7.16	2.5635	3.18	2.4281
frighten	324	267	6.35	2.5119	3.18	2.4281
items	343	267	6.73	2.5366	3.18	2.4281
melt	373	267	7.31	2.5729	3.18	2.4281
pepper	449	267	8.80	2.6532	3.18	2.4281
printed	306	267	6.00	2.4871	3.18	2.4281
shocking	315	267	6.18	2.4997	3.18	2.4281
spends	298	267	5.84	2.4757	3.18	2.4281
warrior	516	267	10.12	2.7135	3.18	2.4281
welfare	402	267	7.88	2.6053	3.18	2.4281
buster	823	266	16.14	2.9159	3.17	2.4265
element	338	266	6.63	2.5302	3.17	2.4265
hawaii	610	266	11.96	2.7860	3.17	2.4265
hustle	402	266	7.88	2.6053	3.17	2.4265
maria	1154	266	22.63	3.0626	3.17	2.4265
needn	334	266	6.55	2.5250	3.17	2.4265
offices	336	266	6.59	2.5276	3.17	2.4265
possessed	340	266	6.67	2.5328	3.17	2.4265
proposed	343	266	6.73	2.5366	3.17	2.4265
speaker	352	266	6.90	2.5478	3.17	2.4265
vegetables	338	266	6.63	2.5302	3.17	2.4265
anxiety	345	265	6.76	2.5391	3.16	2.4249
chairman	605	265	11.86	2.7825	3.16	2.4249
charging	320	265	6.27	2.5065	3.16	2.4249
compassion	319	265	6.25	2.5051	3.16	2.4249
drunken	315	265	6.18	2.4997	3.16	2.4249
entertain	313	265	6.14	2.4969	3.16	2.4249
gravity	351	265	6.88	2.5465	3.16	2.4249
leap	340	265	6.67	2.5328	3.16	2.4249
presented	295	265	5.78	2.4713	3.16	2.4249
protocol	382	265	7.49	2.5832	3.16	2.4249
reservations	327	265	6.41	2.5159	3.16	2.4249
risks	332	265	6.51	2.5224	3.16	2.4249
rod	547	265	10.73	2.7388	3.16	2.4249
saddle	399	265	7.82	2.6021	3.16	2.4249
scenario	319	265	6.25	2.5051	3.16	2.4249
sting	358	265	7.02	2.5551	3.16	2.4249
baker	698	264	13.69	2.8445	3.15	2.4232
bully	368	264	7.22	2.5670	3.15	2.4232
cattle	674	264	13.22	2.8293	3.15	2.4232
clark	1010	264	19.80	3.0048	3.15	2.4232
cord	358	264	7.02	2.5551	3.15	2.4232
evidently	298	264	5.84	2.4757	3.15	2.4232
gary	1248	264	24.47	3.0966	3.15	2.4232
isolated	310	264	6.08	2.4928	3.15	2.4232
logic	342	264	6.71	2.5353	3.15	2.4232
monica	1052	264	20.63	3.0224	3.15	2.4232
pressed	297	264	5.82	2.4742	3.15	2.4232
resort	352	264	6.90	2.5478	3.15	2.4232
trains	416	264	8.16	2.6201	3.15	2.4232
transmission	435	264	8.53	2.6395	3.15	2.4232
trusting	294	264	5.76	2.4698	3.15	2.4232
vast	311	264	6.10	2.4942	3.15	2.4232
virus	964	264	18.90	2.9845	3.15	2.4232
accomplish	298	263	5.84	2.4757	3.14	2.4216
ahold	307	263	6.02	2.4886	3.14	2.4216
attraction	348	263	6.82	2.5428	3.14	2.4216
casualties	373	263	7.31	2.5729	3.14	2.4216
custom	316	263	6.20	2.5011	3.14	2.4216
generations	305	263	5.98	2.4857	3.14	2.4216
gown	334	263	6.55	2.5250	3.14	2.4216
honorable	369	263	7.24	2.5682	3.14	2.4216
infected	422	263	8.27	2.6263	3.14	2.4216
marshall	1321	263	25.90	3.1212	3.14	2.4216
officials	356	263	6.98	2.5527	3.14	2.4216
parker	1111	263	21.78	3.0461	3.14	2.4216
passionate	306	263	6.00	2.4871	3.14	2.4216
poisoned	394	263	7.73	2.5966	3.14	2.4216
slick	350	263	6.86	2.5453	3.14	2.4216
starve	314	263	6.16	2.4983	3.14	2.4216
subjects	355	263	6.96	2.5514	3.14	2.4216
applied	314	262	6.16	2.4983	3.12	2.4200
distress	371	262	7.27	2.5705	3.12	2.4200
guidance	376	262	7.37	2.5763	3.12	2.4200
hobby	354	262	6.94	2.5502	3.12	2.4200
lesbian	485	262	9.51	2.6866	3.12	2.4200
lily	1370	262	26.86	3.1370	3.12	2.4200
maintenance	349	262	6.84	2.5441	3.12	2.4200
published	367	262	7.20	2.5658	3.12	2.4200
puke	319	262	6.25	2.5051	3.12	2.4200
terrorists	601	262	11.78	2.7796	3.12	2.4200
tramp	423	262	8.29	2.6274	3.12	2.4200
tuck	406	262	7.96	2.6096	3.12	2.4200
balloon	442	261	8.67	2.6464	3.11	2.4183
batteries	405	261	7.94	2.6085	3.11	2.4183
cracking	303	261	5.94	2.4829	3.11	2.4183
depth	421	261	8.25	2.6253	3.11	2.4183
entertaining	288	261	5.65	2.4609	3.11	2.4183
genetic	385	261	7.55	2.5866	3.11	2.4183
ignored	301	261	5.90	2.4800	3.11	2.4183
nickname	346	261	6.78	2.5403	3.11	2.4183
overtime	318	261	6.24	2.5038	3.11	2.4183
panties	414	261	8.12	2.6180	3.11	2.4183
pinch	312	261	6.12	2.4955	3.11	2.4183
pony	413	261	8.10	2.6170	3.11	2.4183
protective	309	261	6.06	2.4914	3.11	2.4183
shorter	300	261	5.88	2.4786	3.11	2.4183
soccer	640	261	12.55	2.8069	3.11	2.4183
teddy	811	261	15.90	2.9096	3.11	2.4183
blackmail	394	260	7.73	2.5966	3.10	2.4166
busting	295	260	5.78	2.4713	3.10	2.4166
corporation	393	260	7.71	2.5955	3.10	2.4166
exotic	306	260	6.00	2.4871	3.10	2.4166
jenny	1050	260	20.59	3.0216	3.10	2.4166
mug	349	260	6.84	2.5441	3.10	2.4166
oscar	908	260	17.80	2.9586	3.10	2.4166
philadelphia	539	260	10.57	2.7324	3.10	2.4166
presentation	368	260	7.22	2.5670	3.10	2.4166
pressing	289	260	5.67	2.4624	3.10	2.4166
shooter	499	260	9.78	2.6990	3.10	2.4166
smiles	316	260	6.20	2.5011	3.10	2.4166
wonders	297	260	5.82	2.4742	3.10	2.4166
cousins	377	259	7.39	2.5775	3.09	2.4150
hesitate	279	259	5.47	2.4472	3.09	2.4150
importantly	278	259	5.45	2.4456	3.09	2.4150
insulted	306	259	6.00	2.4871	3.09	2.4150
turtle	869	259	17.04	2.9395	3.09	2.4150
barking	459	258	9.00	2.6628	3.08	2.4133
civilized	315	258	6.18	2.4997	3.08	2.4133
december	387	258	7.59	2.5888	3.08	2.4133
difficulty	285	258	5.59	2.4564	3.08	2.4133
dreamt	339	258	6.65	2.5315	3.08	2.4133
enforcement	339	258	6.65	2.5315	3.08	2.4133
handful	291	258	5.71	2.4654	3.08	2.4133
hatch	654	258	12.82	2.8162	3.08	2.4133
hospitals	315	258	6.18	2.4997	3.08	2.4133
karen	1397	258	27.39	3.1455	3.08	2.4133
salute	370	258	7.25	2.5694	3.08	2.4133
shark	764	258	14.98	2.8837	3.08	2.4133
eliminate	305	257	5.98	2.4857	3.06	2.4116
fourteen	333	257	6.53	2.5237	3.06	2.4116
frightening	294	257	5.76	2.4698	3.06	2.4116
funds	337	257	6.61	2.5289	3.06	2.4116
limo	432	257	8.47	2.6365	3.06	2.4116
memorial	360	257	7.06	2.5575	3.06	2.4116
slack	302	257	5.92	2.4814	3.06	2.4116
collected	293	256	5.75	2.4683	3.05	2.4099
distinguished	315	256	6.18	2.4997	3.05	2.4099
eighth	350	256	6.86	2.5453	3.05	2.4099
footage	422	256	8.27	2.6263	3.05	2.4099
georgia	918	256	18.00	2.9633	3.05	2.4099
includes	269	256	5.27	2.4314	3.05	2.4099
kansas	614	256	12.04	2.7889	3.05	2.4099
label	351	256	6.88	2.5465	3.05	2.4099
monkeys	405	256	7.94	2.6085	3.05	2.4099
negotiate	342	256	6.71	2.5353	3.05	2.4099
pipes	378	256	7.41	2.5786	3.05	2.4099
pose	347	256	6.80	2.5416	3.05	2.4099
pounding	310	256	6.08	2.4928	3.05	2.4099
questioned	293	256	5.75	2.4683	3.05	2.4099
satisfy	286	256	5.61	2.4579	3.05	2.4099
shield	418	256	8.20	2.6222	3.05	2.4099
sloppy	300	256	5.88	2.4786	3.05	2.4099
tasty	322	256	6.31	2.5092	3.05	2.4099
tougher	276	256	5.41	2.4425	3.05	2.4099
travels	288	256	5.65	2.4609	3.05	2.4099
boil	303	255	5.94	2.4829	3.04	2.4082
brick	519	255	10.18	2.7160	3.04	2.4082
cannon	444	255	8.71	2.6484	3.04	2.4082
coffin	461	255	9.04	2.6646	3.04	2.4082
drift	327	255	6.41	2.5159	3.04	2.4082
flu	444	255	8.71	2.6484	3.04	2.4082
loop	345	255	6.76	2.5391	3.04	2.4082
moonlight	354	255	6.94	2.5502	3.04	2.4082
nicest	291	255	5.71	2.4654	3.04	2.4082
ninth	334	255	6.55	2.5250	3.04	2.4082
pancakes	492	255	9.65	2.6928	3.04	2.4082
potter	1039	255	20.37	3.0170	3.04	2.4082
ruled	281	255	5.51	2.4502	3.04	2.4082
wander	299	255	5.86	2.4771	3.04	2.4082
allows	279	254	5.47	2.4472	3.03	2.4065
briefcase	438	254	8.59	2.6425	3.03	2.4065
conversations	285	254	5.59	2.4564	3.03	2.4065
cups	326	254	6.39	2.5145	3.03	2.4065
developing	286	254	5.61	2.4579	3.03	2.4065
grey	469	254	9.20	2.6721	3.03	2.4065
halloween	665	254	13.04	2.8235	3.03	2.4065
healing	326	254	6.39	2.5145	3.03	2.4065
january	341	254	6.69	2.5340	3.03	2.4065
monsieur	1585	254	31.08	3.2003	3.03	2.4065
plague	424	254	8.31	2.6284	3.03	2.4065
replacement	317	254	6.22	2.5024	3.03	2.4065
swinging	313	254	6.14	2.4969	3.03	2.4065
veins	282	254	5.53	2.4518	3.03	2.4065
buffalo	607	253	11.90	2.7839	3.02	2.4048
disappointment	277	253	5.43	2.4440	3.02	2.4048
loosen	282	253	5.53	2.4518	3.02	2.4048
nigger	1034	253	20.27	3.0149	3.02	2.4048
occupied	293	253	5.75	2.4683	3.02	2.4048
panel	372	253	7.29	2.5717	3.02	2.4048
pervert	352	253	6.90	2.5478	3.02	2.4048
slim	605	253	11.86	2.7825	3.02	2.4048
sustained	397	253	7.78	2.5999	3.02	2.4048
variety	294	253	5.76	2.4698	3.02	2.4048
wayne	1060	253	20.78	3.0257	3.02	2.4048
blamed	287	252	5.63	2.4594	3.00	2.4031
define	318	252	6.24	2.5038	3.00	2.4031
fitting	285	252	5.59	2.4564	3.00	2.4031
hike	333	252	6.53	2.5237	3.00	2.4031
indicates	277	252	5.43	2.4440	3.00	2.4031
inevitable	288	252	5.65	2.4609	3.00	2.4031
lands	356	252	6.98	2.5527	3.00	2.4031
razor	351	252	6.88	2.5465	3.00	2.4031
riot	331	252	6.49	2.5211	3.00	2.4031
shade	304	252	5.96	2.4843	3.00	2.4031
shovel	349	252	6.84	2.5441	3.00	2.4031
tanks	506	252	9.92	2.7050	3.00	2.4031
witnessed	291	252	5.71	2.4654	3.00	2.4031
albert	949	251	18.61	2.9777	2.99	2.4014
author	405	251	7.94	2.6085	2.99	2.4014
cozy	288	251	5.65	2.4609	2.99	2.4014
dispatch	350	251	6.86	2.5453	2.99	2.4014
encounter	284	251	5.57	2.4548	2.99	2.4014
feared	289	251	5.67	2.4624	2.99	2.4014
ford	587	251	11.51	2.7694	2.99	2.4014
forgiven	331	251	6.49	2.5211	2.99	2.4014
furious	306	251	6.00	2.4871	2.99	2.4014
humiliating	300	251	5.88	2.4786	2.99	2.4014
korean	506	251	9.92	2.7050	2.99	2.4014
offensive	327	251	6.41	2.5159	2.99	2.4014
shaving	298	251	5.84	2.4757	2.99	2.4014
shook	303	251	5.94	2.4829	2.99	2.4014
suggestions	276	251	5.41	2.4425	2.99	2.4014
unto	389	251	7.63	2.5911	2.99	2.4014
vain	332	251	6.51	2.5224	2.99	2.4014
whew	320	251	6.27	2.5065	2.99	2.4014
acknowledge	313	250	6.14	2.4969	2.98	2.3997
groom	399	250	7.82	2.6021	2.98	2.3997
minus	401	250	7.86	2.6042	2.98	2.3997
misunderstood	283	250	5.55	2.4533	2.98	2.3997
myth	352	250	6.90	2.5478	2.98	2.3997
remembering	295	250	5.78	2.4713	2.98	2.3997
seeking	288	250	5.65	2.4609	2.98	2.3997
semester	354	250	6.94	2.5502	2.98	2.3997
sour	297	250	5.82	2.4742	2.98	2.3997
stir	301	250	5.90	2.4800	2.98	2.3997
alibi	426	249	8.35	2.6304	2.97	2.3979
apologise	399	249	7.82	2.6021	2.97	2.3979
dozens	280	249	5.49	2.4487	2.97	2.3979
driveway	343	249	6.73	2.5366	2.97	2.3979
elbow	313	249	6.14	2.4969	2.97	2.3979
forcing	276	249	5.41	2.4425	2.97	2.3979
hawk	650	249	12.75	2.8136	2.97	2.3979
morgan	1224	249	24.00	3.0881	2.97	2.3979
paintings	575	249	11.27	2.7604	2.97	2.3979
phoned	329	249	6.45	2.5185	2.97	2.3979
plead	357	249	7.00	2.5539	2.97	2.3979
purposes	262	249	5.14	2.4200	2.97	2.3979
sweetest	295	249	5.78	2.4713	2.97	2.3979
tasted	293	249	5.75	2.4683	2.97	2.3979
terminal	390	249	7.65	2.5922	2.97	2.3979
adjust	287	248	5.63	2.4594	2.96	2.3962
antique	309	248	6.06	2.4914	2.96	2.3962
bee	528	248	10.35	2.7235	2.96	2.3962
breed	323	248	6.33	2.5105	2.96	2.3962
fare	314	248	6.16	2.4983	2.96	2.3962
foster	613	248	12.02	2.7882	2.96	2.3962
heights	376	248	7.37	2.5763	2.96	2.3962
puzzle	374	248	7.33	2.5740	2.96	2.3962
saves	263	248	5.16	2.4216	2.96	2.3962
scholarship	507	248	9.94	2.7059	2.96	2.3962
transportation	283	248	5.55	2.4533	2.96	2.3962
vessel	477	248	9.35	2.6794	2.96	2.3962
victor	909	248	17.82	2.9590	2.96	2.3962
announced	289	247	5.67	2.4624	2.94	2.3945
anyplace	277	247	5.43	2.4440	2.94	2.3945
companion	323	247	6.33	2.5105	2.94	2.3945
creation	310	247	6.08	2.4928	2.94	2.3945
divide	298	247	5.84	2.4757	2.94	2.3945
guardian	358	247	7.02	2.5551	2.94	2.3945
hamburger	397	247	7.78	2.5999	2.94	2.3945
hilarious	295	247	5.78	2.4713	2.94	2.3945
innocence	336	247	6.59	2.5276	2.94	2.3945
insulting	274	247	5.37	2.4393	2.94	2.3945
interrupted	267	247	5.24	2.4281	2.94	2.3945
matt	1604	247	31.45	3.2055	2.94	2.3945
mouths	273	247	5.35	2.4378	2.94	2.3945
nations	386	247	7.57	2.5877	2.94	2.3945
rusty	657	247	12.88	2.8182	2.94	2.3945
alcoholic	316	246	6.20	2.5011	2.93	2.3927
blocking	293	246	5.75	2.4683	2.93	2.3927
directed	308	246	6.04	2.4900	2.93	2.3927
disorder	364	246	7.14	2.5623	2.93	2.3927
examined	275	246	5.39	2.4409	2.93	2.3927
grandson	407	246	7.98	2.6107	2.93	2.3927
literature	326	246	6.39	2.5145	2.93	2.3927
organ	370	246	7.25	2.5694	2.93	2.3927
physics	482	246	9.45	2.6839	2.93	2.3927
pope	546	246	10.71	2.7380	2.93	2.3927
rushed	268	246	5.25	2.4298	2.93	2.3927
